,City,Country,Date,Latitude,Longitude,Max Temp(f),Humidity,Wind Speed,Cloudiness
280,Babylon,US,1613335662,40.6957,-73.3257,37.4,65,8.05,90
281,Clyde River,CA,1613335664,70.4692,-68.5914,-11.2,84,1.9,99
282,Kangaatsiaq,GL,1613335665,68.3065,-53.4641,-0.87,91,9.33,56
283,Grand Island,US,1613335523,40.925,-98.342,-4.0,59,14.97,90
284,Adrar,MR,1613335667,20.5022,-10.0711,70.48,20,11.07,0
285,Sibu,MY,1613335668,2.3,111.8167,73.4,94,1.52,20
286,Marawi,PH,1613335669,7.9986,124.2928,73.99,95,5.99,4
287,Opuwo,NA,1613335671,-18.0607,13.84,68.81,70,6.67,95
288,Qaqortoq,GL,1613335673,60.7167,-46.0333,32.0,74,1.54,75
289,Shimoda,JP,1613335674,34.6667,138.95,51.01,92,18.68,100
290,Forsytheganj,BY,1613335675,52.6333,29.7333,14.65,97,4.63,97
291,São Sepé,BR,1613335621,-30.1606,-53.5653,82.4,57,6.91,40
292,Acapulco de Juárez,MX,1613335572,16.8634,-99.8901,80.6,50,10.36,20
293,Moerai,PF,1613335678,-22.4333,-151.3333,81.88,72,10.38,37
294,Akçakoca,TR,1613335680,41.0866,31.1162,34.84,93,14.38,100
295,Lubao,PH,1613335681,14.9167,120.55,75.2,94,2.3,75
296,Dicabisagan,PH,1613335682,17.0818,122.4157,72.16,85,4.09,100
297,Yuyao,CN,1613335683,30.05,121.1494,55.99,82,6.71,0
298,Mar de Espanha,BR,1613335684,-21.8672,-43.0097,73.89,91,2.33,100
299,Cockburn Town,TC,1613335685,21.4612,-71.1419,80.6,61,13.8,20
300,Melville,US,1613335686,40.7934,-73.4151,37.4,65,8.05,90
301,Serebryanyy Bor,RU,1613335688,56.8,124.8,-21.87,85,3.89,100
302,Novosheshminsk,RU,1613335689,55.0651,51.2338,6.17,92,9.66,100
303,Hastings,GB,1613335690,50.8552,0.5729,39.0,61,8.99,100
304,Joshīmath,IN,1613335691,30.5667,79.5667,43.57,52,5.17,66
305,Port Moresby,PG,1613335692,-9.4431,147.1797,75.2,100,4.61,75
306,Atar,MR,1613335693,20.5169,-13.0499,71.42,20,10.6,0
307,Tautira,PF,1613335695,-17.7333,-149.15,86.0,66,16.11,20
308,Yagodnoye,RU,1613335696,62.55,149.6667,-23.39,84,0.22,70
309,Mitú,CO,1613335403,1.1983,-70.1733,88.0,60,3.24,46
310,Carutapera,BR,1613335698,-1.195,-46.02,78.37,84,6.85,100
311,Cairns,AU,1613335701,-16.9167,145.7667,77.0,78,2.3,40
312,Tākestān,IR,1613335702,36.0696,49.6959,41.0,45,4.61,0
313,Arrondissement de Perpignan,FR,1613335704,42.75,2.75,46.4,61,10.36,90
314,Okhotsk,RU,1613335705,59.3833,143.3,5.22,93,1.12,100
315,Springbok,ZA,1613335706,-29.6643,17.8865,57.25,85,10.51,63
316,Dingle,PH,1613335707,10.9995,122.6711,74.34,94,4.5,100
317,Monticello,US,1613335514,45.3055,-93.7941,-5.8,45,8.41,1
318,Quatre Cocos,MU,1613335709,-20.2078,57.7625,77.0,88,3.44,40
319,Erzin,TR,1613335650,36.9559,36.2,60.01,63,5.99,0
320,Domoni,KM,1613335712,-12.2569,44.5319,81.23,80,9.84,99
321,Hamilton,US,1613335560,39.1834,-84.5333,28.4,59,8.05,75
322,Salta,AR,1613335714,-24.7859,-65.4117,82.4,47,10.36,40
323,Durant,US,1613335574,33.994,-96.3708,12.2,85,19.57,90
324,Laguna,US,1613335716,38.421,-121.4238,57.0,47,6.91,90
325,Chodavaram,IN,1613335720,17.8333,82.95,69.8,88,2.3,0
326,Saint-Prosper,CA,1613335721,46.2117,-70.4811,23.0,68,4.61,100
327,Sept-Îles,CA,1613335645,50.2001,-66.3821,18.0,73,5.75,75
328,Nemuro,JP,1613335723,43.3236,145.575,32.13,93,3.8,73
329,Ekhabi,RU,1613335724,53.5102,142.9671,4.03,94,6.87,58
330,South Kazakhstan Region,KZ,1613335726,43.0,68.0,46.49,58,4.9,0
331,Sioux Lookout,CA,1613335728,50.1001,-91.917,-11.2,58,8.05,40
332,Verkhoyansk,RU,1613335729,67.5447,133.385,-27.26,83,0.72,83
333,Vila Velha,BR,1613335583,-20.3297,-40.2925,88.0,65,18.41,20
334,Byron Bay,AU,1613335594,-28.65,153.6167,66.2,82,9.22,90
335,Buraidah,SA,1613335602,26.326,43.975,66.2,48,4.61,0
336,Lamu,KE,1613335734,-2.2717,40.902,77.16,85,12.84,25
337,Khasan,RU,1613335735,42.4308,130.6434,25.77,98,11.25,100
338,Lexington,US,1613335736,37.9887,-84.4777,26.01,80,10.36,90
339,Ulaanbaatar,MN,1613335737,47.9077,106.8832,-11.2,77,0.83,75
340,Iporá,BR,1613335739,-16.4419,-51.1178,75.24,93,5.64,100
341,Kendari,ID,1613335740,-3.945,122.4989,76.17,83,2.93,100
342,Rabo de Peixe,PT,1613335741,37.8,-25.5833,60.01,72,21.85,75
343,Nanganga,TZ,1613335742,-10.3833,39.15,74.48,91,3.4,93
344,Port Hardy,CA,1613335743,50.6996,-127.4199,39.2,87,26.46,90
345,Ankazoabo,MG,1613335744,-22.2833,44.5167,71.08,93,4.16,100
346,Ahipara,NZ,1613335746,-35.1667,173.1667,71.58,93,14.85,100
347,Kefamenanu,ID,1613335747,-9.4467,124.4781,69.78,91,1.57,86
348,Rawson,AR,1613335748,-43.3002,-65.1023,63.41,49,25.86,56
349,Santa Isabel Rio Negro,BR,1613335749,-0.4139,-65.0192,91.49,52,3.11,60
350,Sambava,MG,1613335750,-14.2667,50.1667,76.32,89,4.85,100
351,Sola,VU,1613335751,-13.8833,167.55,81.86,81,13.53,61
352,Kawalu,ID,1613335753,-7.3817,108.2082,71.51,90,2.68,62
353,Cancún,MX,1613335572,21.1743,-86.8466,86.0,66,14.97,75
354,Zaraza,VE,1613335755,9.3503,-65.3245,87.51,49,11.79,100
355,Padang,ID,1613335758,-0.9492,100.3543,75.2,94,1.14,20
356,Tarancón,ES,1613335759,40.0085,-3.0073,48.99,93,6.91,0
357,Kachug,RU,1613335760,53.9606,105.8817,-3.26,89,4.63,100
358,Ishigaki,JP,1613335685,24.3448,124.1572,70.05,70,19.15,0
359,Coyhaique,CL,1613335762,-45.5752,-72.0662,68.0,21,6.91,40
360,Kieta,PG,1613335763,-6.2167,155.6333,80.92,80,8.57,100
361,Mossamedes,AO,1613335764,-15.1961,12.1522,75.34,75,9.8,100
362,Copiapó,CL,1613335767,-27.3667,-70.3333,73.4,53,13.8,0
363,Mirabela,BR,1613335768,-16.2628,-44.1644,74.03,88,1.03,100
364,Barcelos,PT,1613335581,41.5388,-8.6151,55.99,82,10.36,0
365,Anadyr,RU,1613335770,64.75,177.4833,0.0,71,20.13,97
366,Bedelē,ET,1613335771,8.456,36.353,64.9,42,3.22,79
367,Totness,SR,1613335772,5.8833,-56.3167,79.88,75,17.6,95
368,Kysyl-Syr,RU,1613335773,63.8986,122.7617,-20.63,86,6.67,100
369,Keetmanshoop,NA,1613335775,-26.5833,18.1333,68.83,48,19.84,0
370,Shelburne,CA,1613335776,44.0787,-80.2041,24.8,68,3.44,90
371,San Cristobal,VE,1613335777,7.7669,-72.225,93.2,38,4.61,40
372,Berbera,SO,1613335778,10.4396,45.0143,74.57,74,7.2,0
373,Coquimbo,CL,1613335779,-29.9533,-71.3436,68.0,68,13.8,40
374,Lieksa,FI,1613335780,63.3167,30.0167,-2.87,91,3.11,5
375,Sistranda,NO,1613335781,63.7256,8.834,32.0,59,18.41,0
376,Karratha,AU,1613335783,-20.7377,116.8463,79.23,80,8.34,10
377,Tazovsky,RU,1613335784,67.4667,78.7,-34.53,82,10.47,69
378,Jiwani,PK,1613335786,25.05,61.7417,70.79,74,10.36,0
379,Cabatuan,PH,1613335787,10.8794,122.486,73.99,93,6.55,100
380,Kloulklubed,PW,1613335788,7.0419,134.2556,81.86,78,11.74,100
381,Gigmoto,PH,1613335789,13.7796,124.39,76.39,80,9.37,95
382,Sandy Bay,AU,1613335791,-42.913,147.3532,57.99,88,5.75,75
383,Arrondissement de Moulins,FR,1613335792,46.5,3.3333,35.01,86,3.44,0
384,Broome,US,1613335793,42.2506,-75.833,27.0,79,12.66,90
385,Yalí,CO,1613335794,6.6746,-74.8343,73.53,84,2.46,98
386,Zenzeli,RU,1613335795,45.9241,47.0474,31.69,88,7.47,100
387,Vengerovo,RU,1613335796,55.6848,76.7471,24.35,97,15.46,100
388,The Valley,AI,1613335668,18.217,-63.0578,82.4,69,14.97,20
389,Qasigiannguit,GL,1613335799,68.8193,-51.1922,10.4,61,9.22,90
390,Nuristan,AF,1613335800,35.3,70.8333,13.55,77,11.52,0
391,Stara Vyzhivka,UA,1613335807,51.4376,24.44,27.41,98,15.23,98
392,Puerto Suárez,BO,1613335808,-18.95,-57.8,86.0,74,4.61,20
393,Prabumulih,ID,1613335809,-3.45,104.25,73.42,98,2.59,98
394,Ginir,ET,1613335630,7.1333,40.7,61.09,40,4.94,0
395,Isangel,VU,1613335811,-19.55,169.2667,82.24,76,7.58,100
396,Arcata,US,1613335572,40.8665,-124.0828,50.0,93,13.8,90
397,Timbiquí,CO,1613335814,2.7717,-77.6654,82.65,71,5.77,76
398,Sechura,PE,1613335815,-5.5569,-80.8222,81.88,59,15.57,15
399,Grindavik,IS,1613335816,63.8424,-22.4338,39.2,87,16.11,75
400,Mayo,US,1613335552,38.8876,-76.5119,35.01,93,3.44,90
401,Esim,GH,1613335818,4.8699,-2.2405,80.08,85,6.91,3
402,Mahibadhoo,MV,1613335820,3.7833,72.9667,80.69,73,10.74,100
403,Taltal,CL,1613335821,-25.4,-70.4833,70.11,64,4.63,22
404,Brenham,US,1613335822,30.1669,-96.3977,28.4,93,12.66,90
405,Manacapuru,BR,1613335742,-3.2997,-60.6206,75.2,94,2.98,75
406,Caniço,PT,1613335824,32.6333,-16.85,59.0,82,3.44,20
407,Mocuba,MZ,1613335825,-16.8392,36.9856,75.92,93,4.76,82
408,Benin,BJ,1613335826,9.5,2.25,82.63,16,3.74,1
409,Luang Prabang,LA,1613335827,19.8856,102.1347,64.15,75,0.63,71
410,Meadow Lake,US,1613335830,34.8014,-106.5436,19.99,52,29.93,90
411,Ciudad del Maíz,MX,1613335834,22.4,-99.6,73.0,25,8.01,0
412,Araxá,BR,1613335749,-19.5933,-46.9406,72.52,89,3.29,88
413,Udachny,RU,1613335838,66.4167,112.4,-23.8,84,11.45,100
414,Soyo,AO,1613335839,-6.1349,12.3689,80.89,77,9.73,100
415,La Paz,BO,1613335840,-16.5,-68.15,60.8,36,6.91,40
416,Hidalgotitlán,MX,1613335841,17.7833,-94.6333,84.2,48,11.5,40
417,Katangli,RU,1613335842,51.7102,143.2326,9.09,96,7.05,87
418,Korla,CN,1613335843,41.7597,86.1469,33.89,78,2.06,98
419,Pinawa,CA,1613335845,50.1489,-95.8811,-13.02,85,6.71,59
420,Ucluelet,CA,1613335846,48.9329,-125.5528,39.0,93,4.61,90
421,Luwuk,ID,1613335847,-0.9516,122.7875,77.88,76,3.24,100
422,Voskresenskoye,RU,1613335848,56.8381,45.4317,-4.09,92,5.23,80
423,Port-Cartier,CA,1613335849,50.0334,-66.8654,18.0,73,5.75,75
424,Ostrovnoy,RU,1613335851,68.0531,39.5131,3.2,94,14.16,88
425,Abaza,RU,1613335852,52.655,90.0928,21.92,93,3.6,97
426,Mezen',RU,1613335853,65.8522,44.24,-14.4,89,5.06,31
427,Najrān,SA,1613335854,17.4924,44.1277,62.6,27,2.82,0
428,Pochutla,MX,1613335855,15.7432,-96.4661,87.8,33,17.27,1
429,Lindsay,US,1613335672,36.203,-119.0882,55.99,71,5.75,40
430,Wenling,CN,1613335857,28.3669,121.36,57.0,86,4.9,0
431,Flinders,AU,1613335861,-34.5833,150.8552,66.99,75,7.0,83
432,Coffeyville,US,1613335862,37.0373,-95.6164,6.8,61,16.11,90
433,Ajdabiya,LY,1613335863,30.7554,20.2263,60.78,63,10.83,48
434,Moose Factory,CA,1613335864,51.2585,-80.6094,1.4,65,6.91,90
435,Ongandjera,NA,1613335865,-17.8833,15.0667,73.22,54,16.96,89
436,Lázaro Cárdenas,MX,1613335867,17.9583,-102.2,77.27,54,11.18,0
437,Río Gallegos,AR,1613335868,-51.6226,-69.2181,62.6,23,26.46,40
438,Panórama,GR,1613335869,40.5878,23.0315,30.2,86,13.8,90
439,Shilovo,RU,1613335870,54.3204,40.874,-1.93,92,8.46,81
440,Saint Anthony,US,1613335871,45.0205,-93.218,-5.01,45,11.5,20
441,Santa Clara,CU,1613335748,22.4,-79.9667,89.6,40,10.36,40
442,Honiara,SB,1613335645,-9.4333,159.95,81.12,72,1.68,79
443,Khromtau,KZ,1613335876,50.2503,58.4347,19.38,93,15.01,66
444,Roald,NO,1613335877,62.5833,6.1333,35.6,35,16.11,0
445,Port-Gentil,GA,1613335878,-0.7193,8.7815,82.4,83,8.05,20
446,Bowen,AU,1613335879,-20.0167,148.2333,75.2,94,8.05,90
447,Poum,NC,1613335880,-20.2333,164.0167,79.34,74,4.16,75
448,Ulagan,RU,1613335881,50.6321,87.9563,12.76,84,1.14,57
449,Baghmara,IN,1613335883,23.795,86.2085,64.24,29,3.85,0
450,Richards Bay,ZA,1613335884,-28.783,32.0377,76.01,93,5.41,79
451,Andenes,NO,1613335885,69.3143,16.1194,35.6,87,16.11,90
452,Walvis Bay,NA,1613335886,-22.9575,14.5053,68.92,61,16.58,0
453,Itapetininga,BR,1613335614,-23.5917,-48.0531,74.28,82,3.2,100
454,Senador José Porfírio,BR,1613335889,-2.5908,-51.9542,80.64,82,2.08,100
455,Labuhan,ID,1613335890,-6.8844,112.2051,77.09,86,5.3,100
456,Behshahr,IR,1613335891,36.6923,53.5526,46.4,93,4.61,40
457,Luorong,CN,1613335892,24.4058,109.6086,63.7,71,2.51,0
458,Mount Gambier,AU,1613335836,-37.8333,140.7667,57.2,88,13.8,90
459,Sassandra,CI,1613335895,4.95,-6.0833,78.78,91,6.24,100
460,Voi,KE,1613335896,-3.3945,38.563,74.66,77,3.51,48
461,Tiarei,PF,1613335897,-17.5333,-149.3333,86.0,66,16.11,20
462,Grand Gaube,MU,1613335898,-20.0064,57.6608,77.0,79,3.0,75
463,Bulawayo,ZW,1613335899,-20.15,28.5833,65.16,93,4.05,96
464,Reus,ES,1613335820,41.1561,1.1069,48.0,87,6.91,75
465,Tarakan,ID,1613335901,3.3,117.6333,76.89,85,4.5,100
466,Ranong,TH,1613335903,9.9658,98.6348,72.55,85,4.16,56
467,Nouadhibou,MR,1613335907,20.931,-17.0347,73.4,56,13.8,0
468,Harlingen,US,1613335908,26.1906,-97.6961,37.99,100,18.41,90
469,Codrington,AU,1613335909,-38.2667,141.9667,59.59,76,8.59,97
470,Tupik,RU,1613335910,54.4253,119.9327,-16.49,86,3.06,100
471,Winslow,US,1613335912,35.0242,-110.6974,48.0,42,10.36,20
472,Houma,US,1613335699,29.5958,-90.7195,45.0,76,10.36,90
473,Oleksandrivka,UA,1613335914,48.9634,32.2349,15.06,96,5.55,8
474,Ambulu,ID,1613335915,-8.345,113.6058,75.09,86,2.86,93
475,Rāzampeta,IN,1613335916,14.1833,79.1667,64.2,80,2.64,67
476,Goundam,ML,1613335917,16.4145,-3.6708,80.1,15,4.16,88
477,Mount Isa,AU,1613335919,-20.7333,139.5,77.0,100,5.75,40
478,Kamaishi,JP,1613335920,39.2667,141.8833,48.63,81,5.23,99
479,Kyra,RU,1613335921,49.5776,111.9753,-8.18,83,2.39,100
480,Lewistown,US,1613335922,40.5992,-77.5714,33.01,93,3.04,90
481,São Raimundo das Mangabeiras,BR,1613335923,-7.0219,-45.4811,77.09,88,5.28,100
482,Pangnirtung,CA,1613335924,66.1451,-65.7125,-18.4,76,1.7,40
483,Baiyin,CN,1613335926,36.5583,104.2081,34.0,62,6.71,0
484,Porto-Novo,BJ,1613335927,6.4965,2.6036,84.2,84,13.8,40
485,Matagami,CA,1613335928,49.7502,-77.6328,3.2,78,8.05,100
486,Lagos,NG,1613335640,6.5833,3.75,84.2,84,8.05,20
487,Narasannapeta,IN,1613335882,18.4167,84.05,68.47,82,4.05,0
488,Vostok,RU,1613335931,46.4856,135.8833,5.94,95,1.23,96
489,Straumen,NO,1613335932,63.8709,11.2999,30.0,86,8.05,0
490,Alofi,NU,1613335933,-19.0595,-169.9187,82.4,74,9.22,40
491,Ancud,CL,1613335935,-41.8697,-73.8203,64.4,42,9.22,0
492,Beloha,MG,1613335936,-25.1667,45.05,76.28,69,11.32,78
493,Bacolod City,PH,1613335937,10.6667,122.95,75.67,90,7.67,100
494,Šibenik,HR,1613335938,43.7272,15.9058,32.0,43,11.5,0
495,Port Blair,IN,1613335939,11.6667,92.75,78.28,79,5.21,98
496,Kisanga,TZ,1613335940,-7.4362,37.7034,73.11,87,1.03,99
497,Jinchang,CN,1613335941,38.4953,102.1739,26.89,85,3.91,35
498,Giohar,SO,1613335943,2.7809,45.5005,72.1,84,12.12,0
499,Ryūō,JP,1613335944,35.65,138.5,48.99,89,2.1,100
500,Havre-St-Pierre,CA,1613335945,50.2334,-63.5986,12.2,67,3.44,90
501,Iqaluit,CA,1613335946,63.7506,-68.5145,-7.6,71,2.1,90
502,Karatuzskoye,RU,1613335947,53.6072,92.8667,15.04,96,3.04,100
503,Prince Rupert,CA,1613335949,54.3161,-130.3201,35.6,93,11.21,90
504,Batagay-Alyta,RU,1613335950,67.8006,130.4114,-21.57,86,2.46,91
505,Qui Nhon,VN,1613335951,13.7667,109.2333,64.15,87,6.46,63
506,Belyy Yar,RU,1613335952,53.6039,91.3903,6.8,85,4.47,0
507,High Rock,BS,1613335953,26.6208,-78.2833,80.6,78,13.8,75
508,Tegul'det,RU,1613335954,57.3064,88.1667,-1.12,92,5.77,100
509,Constantine,DZ,1613335896,36.365,6.6147,41.0,87,4.61,75
510,Mikhaylovka,RU,1613335957,50.06,43.2379,10.99,79,7.0,95
511,Valparaíso,CL,1613335958,-33.0393,-71.6273,68.0,72,10.36,40
512,Porto Velho,BR,1613335959,-8.7619,-63.9039,86.0,66,6.91,75
513,Tazmalt,DZ,1613335960,36.3868,4.3989,44.49,80,4.16,3
514,Makakilo City,US,1613335833,21.3469,-158.0858,80.6,69,6.91,1
515,Abonnema,NG,1613335962,4.7084,6.7931,80.87,83,7.4,84
516,Mwense,ZM,1613335964,-10.3845,28.698,67.69,88,1.77,100
517,Rizhao,CN,1613335965,35.4275,119.4553,31.59,94,21.56,96
518,Scottsbluff,US,1613335704,41.8666,-103.6672,-0.99,60,9.22,1
519,Le Vauclin,MQ,1613335967,14.5452,-60.8388,78.8,78,23.02,75
520,General Pico,AR,1613335869,-35.6566,-63.7568,97.45,10,12.24,90
521,Vila Franca do Campo,PT,1613335972,37.7167,-25.4333,60.01,72,21.85,75
522,Tulsa,US,1613335764,36.1001,-95.9003,8.01,72,12.66,90
523,Mackay,AU,1613335974,-21.15,149.2,73.99,94,10.36,90
524,Grand Baie,MU,1613335976,-20.0182,57.5802,77.0,79,3.0,85
525,Bentiu,SS,1613335977,9.2333,29.8333,81.5,15,5.12,85
526,Caohai,CN,1613335978,26.8661,104.2841,43.34,95,3.44,56
527,Karasjok,NO,1613335979,69.4719,25.5112,19.4,79,8.05,75
528,Ust'-Karsk,RU,1613335980,52.7011,118.8077,-20.76,83,1.36,98
529,High Prairie,CA,1613335982,55.4334,-116.4858,-2.2,55,9.22,100
530,Japura,ID,1613335983,-0.3167,102.35,73.69,92,3.11,86
531,Cardston,CA,1613335984,49.2,-113.3019,1.4,55,5.75,100
532,Laas,IT,1613335985,46.6166,10.7002,24.8,48,8.05,0
533,Kismayo,SO,1613335986,-0.3582,42.5454,76.46,84,14.5,0
534,Port Hedland,AU,1613335987,-20.3167,118.5667,80.6,83,8.05,90
535,Saint-Augustin,CA,1613335988,51.226,-58.6502,7.97,91,7.4,100
536,Mayumba,GA,1613335991,-3.432,10.6554,80.46,85,7.85,100
537,Samarai,PG,1613335992,-10.6167,150.6667,81.16,74,1.45,39
538,Santiago del Estero,AR,1613335815,-27.7951,-64.2615,98.01,29,1.01,0
539,Pālampur,IN,1613335994,32.1167,76.5333,48.87,47,5.64,0
540,Maxixe,MZ,1613335996,-23.8597,35.3472,80.46,83,11.74,58
541,Mehamn,NO,1613335998,71.0357,27.8492,28.4,86,16.11,75
542,Formosa,AR,1613335999,-26.1775,-58.1781,91.4,49,6.91,40
543,Johor Bahru,MY,1613336000,1.4655,103.7578,75.2,83,6.91,0
544,Turaif,SA,1613336001,31.6725,38.6637,55.4,62,9.22,0
545,Macouria,GF,1613336002,4.9167,-52.3667,80.6,83,4.61,75
546,The Pas,CA,1613336004,53.8251,-101.2541,-4.0,77,10.36,90
547,Boffa,GN,1613336005,10.1667,-14.0333,73.63,84,3.8,5
548,Saint-Raymond,CA,1613335849,45.467,-73.6095,23.0,63,2.3,100
549,Härnösand,SE,1613336007,62.6323,17.9379,23.0,93,2.3,90
550,Hearst,CA,1613336009,49.6835,-83.6665,3.2,55,6.91,100
551,Bonavista,CA,1613336010,48.6499,-53.1147,26.01,63,4.61,100
552,Palauig,PH,1613336011,15.435,119.9045,74.89,78,4.79,100
553,Guerrero Negro,MX,1613336013,27.9769,-114.0611,63.0,59,20.24,100
554,Sabzawār,IR,1613335922,36.2126,57.6819,50.65,45,6.87,0
555,São José da Coroa Grande,BR,1613335893,-8.8978,-35.1478,79.25,81,10.56,46
556,Turki,RU,1613336017,51.987,43.2731,-3.91,92,8.72,54
557,Pisco,PE,1613336018,-13.7,-76.2167,80.6,57,17.27,0
558,Haines Junction,CA,1613336020,60.7522,-137.5108,-14.8,53,2.3,56
